wavenumber_cm_inv,reflectance_percent
399.6747,0
400.1569,79.8019744
400.639,79.41137847
401.1211,79.11110165
401.6032,78.82791692
402.0853,78.63489526
402.5674,78.48464259
403.0496,78.37977053
403.5317,78.29894949
404.0138,78.21232417
404.4959,78.14938114
404.978,78.10494208
405.4601,78.00626132
405.9423,77.90679138
406.4244,77.80705062
406.9065,77.66616313
407.3886,77.52762029
407.8707,77.38783923
408.3528,77.2698703
408.835,77.16719316
409.3171,77.09782202
409.7992,77.05933337
410.2813,77.04869685
410.7634,77.06895725
411.2455,77.0827864
411.7277,77.1466191
412.2098,77.18900742
412.6919,77.20776517
413.174,77.22790713
413.6561,77.29349815
414.1382,77.34414663
414.6204,77.39574308
415.1025,77.50412813
415.5846,77.62901836
416.0667,77.77609267
416.5488,77.98903202
417.0309,78.1967794
417.5131,78.40597781
417.9952,78.55965994
418.4773,78.64909296
418.9594,78.62849854
419.4415,78.45956157
419.9236,78.19573878
420.4058,77.88497925
420.8879,77.57592896
421.37,77.27185717
421.8521,76.98383446
422.3342,76.73446159
422.8163,76.51849678
423.2985,76.34730935
423.7806,76.17241154
424.2627,76.06046036
424.7448,75.92506324
425.2269,75.81213983
425.709,75.67786105
426.1912,75.563571
426.6733,75.38845143
427.1554,75.21174001
427.6375,75.05661627
428.1196,74.8817577
428.6017,74.76239774
429.0839,74.64453838
429.566,74.5466717
430.0481,74.48257919
430.5302,74.43389639
431.0123,74.43658748
431.4944,74.51165239
431.9766,74.5643195
432.4587,74.62020941
432.9408,74.68768816
433.4229,74.72944976
433.905,74.77007153
434.3871,74.76586442
434.8693,74.74235243
435.3514,74.65543838
435.8335,74.50660062
436.3156,74.35110883
436.7977,74.17235954
437.2798,74.01742387
437.762,73.79951594
438.2441,73.62531209
438.7262,73.47670044
439.2083,73.34646477
439.6904,73.26065644
440.1725,73.21524819
440.6547,73.17640617
441.1368,73.16221695
441.6189,73.12801906
442.101,73.1129866
442.5831,73.10164471
443.0652,73.07587774
443.5474,73.0240414
444.0295,72.96422533
444.5116,72.88487143
444.9937,72.83763816
445.4758,72.75279805
445.9579,72.68273711
446.4401,72.57596197
446.9222,72.45913563
447.4043,72.28691738
447.8864,72.13083879
448.3685,71.9362679
448.8506,71.74859075
449.3328,71.53378578
449.8149,71.32956875
450.297,71.16749425
450.7791,70.98010064
451.2612,70.82048481
451.7433,70.70282142
452.2255,70.57144915
452.7076,70.50729414
453.1897,70.40394957
453.6718,70.33961065
454.1539,70.28215802
454.636,70.21670863
455.1182,70.14454297
455.6003,70.08058573
456.0824,70.03487672
456.5645,69.95112175
457.0466,69.85889173
457.5287,69.78578433
458.0109,69.69037707
458.493,69.60142149
458.9751,69.47919349
459.4572,69.37062202
459.9393,69.21639424
460.4214,69.07211529
460.9036,68.90344765
461.3857,68.70909135
461.8678,68.51318911
462.3499,68.35643795
462.832,68.16559172
463.3141,68.00214852
463.7963,67.85923442
464.2784,67.70769395
464.7605,67.55851089
465.2426,67.4200139
465.7247,67.31828514
466.2068,67.22189352
466.689,67.13930116
467.1711,67.06387212
467.6532,66.94351996
468.1353,66.88099832
468.6174,66.77440168
469.0995,66.66658276
469.5817,66.54956931
470.0638,66.39083047
470.5459,66.23734612
471.028,66.0483798
471.5101,65.82750552
471.9922,65.59163406
472.4744,65.31565928
472.9565,65.04752514
473.4386,64.75760544
473.9207,64.48131298
474.4028,64.20103051
474.8849,63.95307318
475.3671,63.71846613
475.8492,63.50741585
476.3313,63.30078381
476.8134,63.10005051
477.2955,62.92958455
477.7776,62.79842972
478.2598,62.62586576
478.7419,62.50077157
479.224,62.3458605
479.7061,62.2198147
480.1882,62.07885514
480.6703,61.91902398
481.1525,61.75744683
481.6346,61.58319819
482.1167,61.4094894
482.5988,61.19754039
483.0809,60.97999178
483.563,60.77402763
484.0452,60.57582513
484.5273,60.36902781
485.0094,60.13812009
