wavenumber_cm_inv,reflectance_percent
399.6747,0
400.1569,31.29322924
400.639,30.60428036
401.1211,29.99740213
401.6032,29.41479736
402.0853,28.94739201
402.5674,28.56453144
403.0496,28.2573198
403.5317,28.05093833
404.0138,27.90966164
404.4959,27.82480345
404.978,27.78869601
405.4601,27.74284411
405.9423,27.68946917
406.4244,27.64880272
406.9065,27.57350092
407.3886,27.46281947
407.8707,27.32350287
408.3528,27.16558967
408.835,26.96203377
409.3171,26.75746501
409.7992,26.55659144
410.2813,26.34868225
410.7634,26.15934145
411.2455,25.98917694
411.7277,25.87290542
412.2098,25.75938539
412.6919,25.66319507
413.174,25.58149735
413.6561,25.50335926
414.1382,25.44107855
414.6204,25.36119756
415.1025,25.29448267
415.5846,25.21075153
416.0667,25.11148993
416.5488,25.03173113
417.0309,24.94140096
417.5131,24.84870137
417.9952,24.69277285
418.4773,24.54579513
418.9594,24.38142989
419.4415,24.21197493
419.9236,24.00941826
420.4058,23.80009017
420.8879,23.6189511
421.37,23.49288698
421.8521,23.34657157
422.3342,23.22467277
422.8163,23.09734402
423.2985,23.01884255
423.7806,22.94231686
424.2627,22.84953106
424.7448,22.78374032
425.2269,22.67189469
425.709,22.54578594
426.1912,22.42440825
426.6733,22.26251503
427.1554,22.09267052
427.6375,21.93917553
428.1196,21.75771149
428.6017,21.60910213
429.0839,21.50269677
429.566,21.40676551
430.0481,21.35422517
430.5302,21.31739042
431.0123,21.34405988
431.4944,21.38174306
431.9766,21.40786454
432.4587,21.44584033
432.9408,21.48172944
433.4229,21.53046816
433.905,21.52677967
434.3871,21.55708849
434.8693,21.53982975
435.3514,21.55679824
435.8335,21.56905725
436.3156,21.6141601
436.7977,21.6589213
437.2798,21.686167
437.762,21.76839724
438.2441,21.83056602
438.7262,21.89113876
439.2083,21.91440597
439.6904,21.96243985
440.1725,22.0040586
440.6547,22.02830379
441.1368,22.03980202
441.6189,22.06057177
442.101,22.06578232
442.5831,22.06116882
443.0652,22.05897062
443.5474,22.0487407
444.0295,22.02120874
444.5116,22.00560852
444.9937,21.98129789
445.4758,21.94634631
445.9579,21.91431156
446.4401,21.88792464
446.9222,21.9241542
447.4043,21.92451305
447.8864,21.98205069
448.3685,22.03394131
448.8506,22.12338674
449.3328,22.1877341
449.8149,22.25941744
450.297,22.31854802
450.7791,22.37232357
451.2612,22.41034886
451.7433,22.4499247
452.2255,22.49140608
452.7076,22.52703527
453.1897,22.56306543
453.6718,22.63823228
454.1539,22.70976972
454.636,22.78716187
455.1182,22.88030173
455.6003,22.96297452
456.0824,23.07443409
456.5645,23.17802091
457.0466,23.301421
457.5287,23.44166048
458.0109,23.52461294
458.493,23.66463496
458.9751,23.74896675
459.4572,23.84846475
459.9393,23.92153558
460.4214,24.00226899
460.9036,24.09185226
461.3857,24.16049252
461.8678,24.25072314
462.3499,24.34605281
462.832,24.43325774
463.3141,24.55202139
463.7963,24.67268218
464.2784,24.82054004
464.7605,24.9305005
465.2426,25.06777384
465.7247,25.193963
