frequency_cm,power
0.00200232034896926,2135.801261459717
0.0020102346586489805,2101.494489682012
0.0020181489683287006,2067.8380789488597
0.0020260632780084212,2034.8579426184447
0.002033977587688142,2002.5791160135182
0.002041891897367862,1971.0257644876783
0.0020498062070475826,1940.2211954389813
0.0020577205167273027,1910.1878743250331
0.0020656348264070233,1880.9474447255593
0.0020735491360867435,1852.5207524899731
0.002081463445766464,1824.9278739987485
0.0020893777554461842,1798.188148558457
0.002097292065125905,1772.3202149411654
0.002105206374805625,1747.3420520695088
0.0021131206844853456,1723.271023839225
0.002121034994165066,1700.1239280612085
0.0021289493038447863,1677.9170494952357
0.002136863613524507,1656.666216937572
0.002144777923204227,1636.3868643144926
0.0021526922328839477,1617.0940957235784
0.002160606542563668,1598.8027543543558
0.0021685208522433884,1581.527495209491
0.0021764351619231086,1565.2828615374267
0.002184349471602829,1550.0833648769287
0.0021922637812825494,1535.943568603671
0.00220017809096227,1522.878174858652
0.00220809240064199,1510.9021147279607
0.0022160067103217107,1500.03064153322
0.0022239210200014313,1490.2794270819409
0.0022318353296811515,1481.664660717062
0.002239749639360872,1474.203150995132
0.002247663949040592,1467.9124298129534
0.002255578258720313,1462.8108587930342
0.002263492568400033,1458.9177377290193
0.0022714068780797536,1456.2534148832258
0.0022793211877594737,1454.8393989197293
0.0022872354974391943,1454.6984722479829
0.0022951498071189145,1455.8548055438735
0.002303064116798635,1458.3340732072525
0.0023109784264783557,1462.1635695076393
0.002318892736158076,1467.372325162633
0.0023268070458377964,1473.9912240869974
0.0023347213555175166,1482.0531200440635
0.002342635665197237,1491.5929529253299
0.0023505499748769573,1502.647864378773
0.002358464284556678,1515.257312501485
0.002366378594236398,1529.4631853079131
0.0023742929039161187,1545.3099126810555
0.002382207213595839,1562.8445765106462
0.0023901215232755594,1582.1170187195428
0.00239803583295528,1603.1799468772992
0.002405950142635,1626.0890370981977
0.0024138644523147208,1650.9030339199578
0.002421778761994441,1677.6838468587803
0.0024296930716741615,1706.496643336565
0.0024376073813538817,1737.4099376767965
0.0024455216910336023,1770.495675866952
0.0024534360007133224,1805.8293157872831
0.002461350310393043,1843.489902608402
0.002469264620072763,1883.5601390633672
0.002477178929752484,1926.1264503038633
0.002485093239432204,1971.2790430546006
0.0024930075491119245,2019.1119587852702
0.002500921858791645,2069.7231206252104
0.0025088361684713653,2123.2143737524516
0.002516750478151086,2179.6915189959013
0.002524664787830806,2239.264339397239
0.0025325790975105266,2302.0466194874716
0.002540493407190247,2368.1561570421245
0.0025484077168699674,2437.7147670887184
0.0025563220265496876,2510.848277950394
0.002564236336229408,2587.6865191204624
0.0025721506459091283,2668.363300774013
0.002580064955588849,2753.016384734824
0.0025879792652685695,2841.787446728263
0.0025958935749482897,2934.8220297641155
0.0026038078846280103,3032.269488506737
0.0026117221943077304,3134.2829245042176
0.002619636503987451,3241.019112162744
0.002627550813667171,3352.6384153674508
0.0026354651233468918,3469.3046946665904
