iteration,d_um
0,7.380599289712172
1,7.3880633670834195
2,7.3824879258863865
3,7.394611223115111
4,7.381051172019558
5,7.381004305216902
6,7.383888232262269
7,7.398322534797387
8,7.3803540497480515
9,7.385194702939257
10,7.386949927241626
11,7.380330866034133
12,7.388014961111121
13,7.3811471314808434
14,7.3868925719099705
15,7.388645589744635
16,7.387947033524961
17,7.393342483229739
18,7.377973726327918
19,7.382608079573616
20,7.385150328451401
21,7.3859564114457665
22,7.378614768972312
23,7.38383719744282
24,7.393171603411186
25,7.380990526584874
26,7.3811398498694905
27,7.388757850023942
28,7.372057621186386
29,7.3904208221641445
30,7.385980195598224
31,7.38699809559889
32,7.387397305553658
33,7.378779942880018
34,7.372719065249974
35,7.3961692646021895
36,7.389466319081019
37,7.384722724112404
38,7.383501668976282
39,7.38799663805309
40,7.38482933742803
41,7.381479973685606
42,7.393658433875032
43,7.381051993027685
44,7.385658982519609
45,7.385814761006867
46,7.387232694236954
47,7.394129650091409
48,7.37826260084845
49,7.381682214786957
50,7.388383827562358
51,7.394532812507644
52,7.380767426028795
53,7.3887128431831295
54,7.381470772842168
55,7.389393670814562
56,7.394405005880492
57,7.371343928264404
58,7.386931798711837
59,7.388772852075912
60,7.380400065410355
61,7.379452173110312
62,7.386191584520878
63,7.387943304144086
64,7.376693439300093
65,7.38894249407269
66,7.3847871382382575
67,7.37645796498352
68,7.3935026588732216
69,7.381317988899603
70,7.393186187287246
71,7.387485512107863
72,7.3850073530044344
73,7.381614690874731
74,7.388448402776673
75,7.38930119664552
76,7.384254574445471
77,7.387334430541675
78,7.392020267749972
79,7.383831585216116
80,7.385213721723382
81,7.387189515892514
82,7.3861843458524765
83,7.380440967333527
84,7.3748577200206045
85,7.3968207353846465
86,7.378780173897244
87,7.388638775015195
88,7.3802282410575835
89,7.383453896680376
90,7.376955371790414
91,7.377959968277683
92,7.381528897529198
93,7.387446716037004
94,7.3787870254883945
95,7.394168135234941
96,7.389251321232947
97,7.389558346133707
98,7.384751044647893
99,7.386739523581936
100,7.378647112852934
101,7.394122535613938
102,7.386519812729925
103,7.386919854910317
104,7.382309643748497
105,7.377473958495829
106,7.375932692952786
107,7.389807096105357
108,7.387362032729621
109,7.394699504341847
110,7.381954051066444
111,7.385946947507462
112,7.381175821893907
113,7.382910328879249
114,7.388334842631818
115,7.385402856415461
116,7.379198869390352
117,7.375923913103521
118,7.389189140459696
119,7.376278515911366
